year,profit,revenue,employee_count,avg_productivity,market_conditions,product_demand,current_product_profitability,competitor_performance,future_profit_growth,required_employee_count,product_strategy
2010,117627.29247411109,362919.91436913965,414,1.4017048257387144,0.9934760757711336,0.24719470827351103,0.5092917131052267,0.35971049935884863,0.1119436986312349,293,1
2011,167083.0613576605,372596.0102440415,334,0.5133206425062863,0.7229396263353918,0.3124121024443569,0.3689275451586049,0.620681296493429,0.03871963593365341,103,0
2012,81102.65179128543,215284.62961926823,427,1.1759095847497003,0.9826083898145408,0.8665079302465838,0.5273669742358231,0.5641231677983536,-0.06943952472223969,417,0
2013,154484.35835093382,421295.48145442223,468,1.2925369465512777,0.34417406187338573,0.9614931896935945,0.3398705465310899,0.6937721712870109,0.28317529868864455,388,0
2014,184330.2126378954,414144.1147658579,269,0.9846618045992056,0.7330938015416317,0.9446187492483401,0.3589468041416781,0.446194783846221,0.29356439546801427,541,0
2015,53772.47300679336,120288.29958738663,384,0.6443840584494424,0.25321608070800256,0.8275912084032676,0.7524566314015348,0.4391480262505657,0.2953835529072174,93,0
2016,92410.37774748848,124110.32221924998,130,0.9177117440685052,0.9924610215745968,0.7597915801731446,0.3069841385402077,0.3589376765186383,0.26341927153356315,111,0
2017,58985.99203890897,155155.4681894583,248,1.1429141425339728,0.9250275463072184,0.2939189730765903,0.9594693187624597,0.8829286290918199,0.28139741548498654,371,1
2018,103484.13021188887,277593.97000863636,333,1.295532593139911,0.9670708375437054,0.3705911292581331,0.43560292853858334,0.3089926279600108,-0.032740535246598465,411,0
2019,62949.19474208039,343766.0557031507,378,1.1625319724445966,0.8792255126197548,0.3841330338017144,0.3381495578487034,0.6258163057516857,0.1585741304807308,362,1
2020,179165.82312144715,208764.31958127633,142,1.2145104769003523,0.7044843099873026,0.2763727898015551,0.6816798488943796,0.6836067504080372,0.2798008070329491,330,1
2021,132805.2394633192,376401.14398286113,117,0.880158287401825,0.7564964112936379,0.2612643346429246,0.6292932137419306,0.9265221726628468,0.15628427109611356,517,0
2022,105209.21723593517,420235.92670827865,258,1.086178159406602,0.9142756604933093,0.11259008136787949,0.44242162979169586,0.37761274599825856,0.09379866600149422,144,1
2023,193932.57486948633,353196.21471714193,291,1.3522939827422786,0.46753708552000206,0.7913421672275606,0.5843801528954249,0.3180676548630248,0.12275012908842839,192,0
Present,150000.0,400000.0,300,1.2,0.8,0.7,0.9,0.6,,,
